symbol,name,price,volume_24h,market_cap,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,percent_change_60d,percent_change_90d
HEDGE,HedgeFi,0.0009326678190171613,35752.89554756,0.0,-0.792894,-3.11933358,99.52782172,24.27759968,65.39506226,-14.11878457
CRH,Crypto Hunters Coin,0.0018127851181414943,35839.75102222,0.0,0.24790355,-1.86301011,16.94792521,-29.37260195,-6.24363735,-24.00876325
FUNCH,FUNCH,0.055024807384600416,35857.00361936,0.0,0.00382039,0.06245571,-14.79357472,0.14155332,504.34104558,176.66009399
MDCX,MDCX.Finance,0.0005211349484843339,35963.63936371,0.0,0.42797386,3.5204234,-30.49553339,695.41256162,695.32687537,-94.81317666
DXY,US Degen Index 6900,0.0010148198755337244,35994.34935236,0.0,2.36822571,34.5268689,44.04800806,93.24574471,12.07624203,-64.88581977
TOPG,TOP G,0.0004847409312973036,36041.82057419,0.0,-0.59866416,19.89767383,33.24183219,-0.05831054,-18.33162765,13.01404783
RDEX,Orders.Exchange,0.009590276068409011,36157.73572649,0.0,-0.00225908,-1.50119007,-6.09051395,-39.18378726,-7.62408691,-23.42351079
PNUT,Peanut the Squirrel on Ethereum,0.0955772898684943,36154.64125955,0.0,0.29208589,-13.91425705,-28.77985977,-68.66677547,-68.9395588,-68.9395588
UXD,UXD Stablecoin,0.9998532800755121,36168.59937367,0.0,0.00808302,0.00221352,0.01062553,0.01914109,-0.05420399,-0.07014002
SP,Spintria,0.023178965375373846,36211.38224465,0.0,-0.19183407,4.42891409,1.28635999,-20.54996604,-14.62105322,-14.62105322
DEUS,DEUS Finance,24.93920829937233,36318.42650027,0.0,0.46602996,0.80070978,5.59285488,-11.01301685,25.24463119,42.39778854
UBIT,UBIT,0.06574207795835124,36324.70304305,0.0,0.52061732,22.90975606,2.75543868,-32.74189968,-40.27030339,-44.72492224
SPACEPI,SpacePi (ETH),1.35747697821679e-09,40617.26643573,0.0,0.70891777,-3.85527251,-0.75732509,-18.70034364,-18.76985737,-17.3270538
ATOZ,Race Kingdom,0.03740155607746854,40752.55500355,0.0,-0.16474207,2.27623154,3.01523093,-9.92817195,-16.54882619,-15.23685451
SOLNIC,Solnic,0.009606784714024815,46004.51821945,0.0,5.1459232,6.59975651,5.12525201,10.52324089,106.23608126,417.26740082
ABRA,Abraham Elite,0.08043626388585226,44685.85890908,0.0,0.00382039,3.40644524,99.97004266,-5.33777735,-22.99995863,-25.43999726
GUARD,Guardian,0.12865685079359093,43485.46126366,0.0,-0.14670357,-0.71427811,-9.93804021,7.56210028,47.71993497,-9.00603699
FAND,Fandomdao,0.008225708478476085,43509.84785691,0.0,0.00547508,27.55811222,-30.19106118,-64.66608658,-52.12683981,-52.30928866
ROKO,Roko,3.88525338635181e-05,43682.86474566,0.0,-0.80718424,-11.2380221,-5.74865824,-35.25591311,-22.10202412,72.07298967
MOLI,Mobile Liquidity,0.14491156940812921,43698.5523429,0.0,-0.99573004,7.28074192,24.20213176,-21.25809765,-13.38759703,-27.91473102
KLY,Klayr,0.009994038109686852,43750.12769979,0.0,-0.62849358,-2.29834926,3.45789334,-18.751796,-15.89148093,-2.21813571
BDROP,BlockDrop,0.04772278445418623,43754.11246481,0.0,-3.03413731,-2.98908368,-4.54210225,-25.38669992,-51.23130661,-37.24966118
ROSA,Rosa Inu,0.0004936848821742877,43978.24690322,0.0,-0.68690226,-5.21664663,-0.22778548,-59.87579584,-72.71685673,-78.18917895
KONG,KongSwap,0.06482107754863922,44000.31166791,0.0,3.18571968,3.49518753,38.9591262,130.80400321,348.50346305,348.50346305
F3,Friend3,0.008408479668801106,44062.31414644,0.0,0.00522459,0.83745375,5.58242279,-31.67134582,-29.68039614,-27.14320331
METO,Metafluence,0.00017006489727670564,44313.75003719,0.0,-0.40619781,-0.22666715,-7.51744202,-38.68755155,-34.59041225,-46.03718271
GORA,Gora Network,0.08522310533824028,44519.44794841,0.0,-23.25962995,7.98692723,10.10791698,-22.4787812,66.57961926,82.5092371
OPCAT,Cat Protocol,0.38659688152141736,44652.46835978,0.0,-0.9071367,4.46679541,-14.99170475,-54.86197357,-56.57638592,-56.57638592
ARCH,Archway,0.02674175589416082,44662.58896931,0.0,-0.28650975,3.76779138,6.91731806,-24.35235668,3.0502355,-23.84091144
XCM,Coinmetro Token,0.05399759363457439,44726.71562773,0.0,-0.02124836,-8.22624726,-19.73642157,-31.05029721,51.36152478,14.26844366
XNET,XNET Mobile,0.05386592466001156,43365.33495791,0.0,-5.15209172,-11.16956018,-25.13334798,-44.85345965,-58.08705375,-53.00040745
ESG,ESG,0.3568599997319409,44762.44725249,0.0,-0.05627534,0.71081895,8.09594352,-7.75260208,26.79297524,23.11949149
LOOT,Lootex,0.021010263751558254,45184.10085141,0.0,7.7786012,-5.08305212,4.57954587,-38.39623046,73.72452407,57.02936804
GEEK,De:Lithe Last Memories,0.0006896293536335193,45260.06284503,0.0,-0.77332125,-19.08653797,-43.13024578,-77.82858861,-87.98065857,-93.74337278
USK,USK,0.9726945453525973,45264.79238149,0.0,-0.0021224,-0.16235625,0.36425024,-0.7933815,1.59242949,1.03367129
LOAFCAT,LOAFCAT,5.75608326714087e-05,45288.72216994,0.0,4.0548125,7.38479251,-33.50883581,-51.99944183,34.25371135,116.24578317
ALI,Alita Finance,0.03376185655413929,45500.29272098,0.0,-0.74251362,1.44581533,3.31995259,-2.50626101,13.16874236,16.47795817
JEFF,Jeff World,0.0046874729338212415,45636.71534707,0.0,0.01058987,0.07099125,30.88008822,-53.3094495,-53.64317937,-60.48840285
COR,Cortensor,0.017222530101106033,45641.16126946,0.0,-0.1233098,1.05853725,-1.01594502,74.94907121,367.95904893,398.58633665
DBR,DOLA Borrowing Right,0.14910356274880687,45780.22901591,0.0,-9.681e-05,-1.95596063,0.17907035,-27.46694419,35.57582453,210.82368319
RST,Raini Studios Token,0.008427775302650629,45782.46535315,0.0,-1.18473547,2.32473548,-0.84884533,-47.35511689,-13.03000558,44.73702264
MPAA,MPAA,4.502029695103672e-05,45899.57106204,0.0,-0.21626655,3.28002872,10.28731112,-56.3283835,-62.9663063,-79.48829297
LAND,Outlanders,0.004150361219837461,45942.78995845,0.0,-0.0095839,14.92955754,14.74249725,-10.1974005,37.55513696,-20.92670781
HLG,Holograph,0.001181284792598078,45959.36859862,0.0,-0.5569007,0.40285581,3.09634706,-29.96550782,-4.33780855,-18.50983759
PIG,Pigcoin,6.270295651486097e-07,43430.09445477,0.0,-1.00139917,15.29307891,46.4313973,-13.83019122,4.34792427,-17.44421468
